id;ide;ide_other;ide_reason;ide_reason_other;ide_rating;ide_moving_reason;ide_moving_reason_other;language;language_other;language_reason;language_reason_other;language_rating;language_moving_reason;language_moving_reason_other;appstack;appstack_other;appstack_reason;appstack_reason_other;appstack_rating;appstack_moving_reason;appstack_moving_reason_other;architecture;architecture_other;architecture_reason;architecture_reason_other;architecture_rating;architecture_moving_reason;architecture_moving_reason_other;database;database_other;database_reason;database_reason_other;database_rating;database_moving_reason;database_moving_reason_other;devops;devops_reason;devops_reason_other;performance;performance_reason;performance_reason_other;exciting_tech;tech_choices;productivity_boost;job_description;job_description_other;company;teamsize;experience_years;country
e3fdfecb842d4c0fbc83ad2870d0f9ff;IntelliJ IDEA;;Functionality: it's superior;;10;;;Java 8 (or newer);;Ecosystem: community, tools, libraries;;8;;;Spring ;;Ecosystem: tooling, libraries, plenty of users, and support;;8;;;Microservices;;Suitability: it fits our requirements most effectively;;9;;;MySQL;;;Historical reasons;6;;;We don't even have ops;;We don't have Ops :);We have APMs and monitor health of the deployments;Performance directly affects our bottom line;;I'm not that excitable;We're good, it feels productive, and we know how to move forward;I need more tools not changing the existing;;I: I am not sure, really;Small company (I work in a shared office space or small office);10-19;8;Estonia
b2967409a07c63f2b2aa799c6cfa44a2;NetBeans;;Functionality: it's superior;;9;;;Java 8 (or newer);;Ecosystem: community, tools, libraries;;6;;;Java EE;;Ecosystem: tooling, libraries, plenty of users, and support;;8;;;Split architecture: frontend / backend;;;Don't want to tell;7;;;MySQL;;Company policy: we have licenses already;;7;;;At least we talk to the Ops people;Faster resolution of problems;;We have APMs and monitor health of the deployments;Performance directly affects our bottom line;;Kotlin;It feels unproductive, but the project is easy to maintain in production;Project architecture;Software Developer;;Midsized company (I work in an open plan office);3-9;6;Poland
c2a6b3060e7b244a209afdb48d227985;IntelliJ IDEA;;Project requires it;;7;;;Groovy;;Functional superiority;;9;;;Lightweight frameworks, i.e. Dropwizard, SparkJava, Ratpack, etc ;;It's functionally superior;;9;;;Microservices;;Suitability: it fits our requirements most effectively;;8;;;;OrientDB;Suitability: it fits our architechture / requirements;;6;;;We are the DevOps ;Faster resolution of problems;;We have APMs and monitor health of the deployments;Performance directly affects our bottom line;;ratpack;We're good, it feels productive, and we know how to move forward;Database;Team Lead;;Small company (I work in a shared office space or small office);10-19;16;France
f7449a855f575be5f43548a280786e0f;IntelliJ IDEA;;Functionality: it's superior;;10;;;Java 8 (or newer);;Team skills: it was what we knew the best;;8;;;Spring ;;Familiarity: we know it the best;;8;;;SOA;;Familiarity: we have the skills and know we can make it work;;6;;;MS SQL;;;Been using for long;8;;;The Dev team and the Ops team work together;Stable operating environment;;We react to the user complains;We don't know how to properly address performance issues;;Yourkit;We're good, it feels productive, and we know how to move forward;Programming language;Software Developer;;Enterprise Company (I work in a cubicle or large open plan office);10-19;5;India
62ed464030157cdea8ab291a70bb3972;IntelliJ IDEA;;Functionality: it's superior;;10;;;Scala;;Ecosystem: community, tools, libraries;;8;;;Reactive stack, i.e. Play framework, Lagom, Vert.x, etc;;Ecosystem: tooling, libraries, plenty of users, and support;;10;;;Microservices;;Suitability: it fits our requirements most effectively;;8;;;MongoDB;;Developer friendliness;;7;;;The Dev team and the Ops team work together;;No DevOps;We have APMs and monitor health of the deployments;Performance tooling / experts are expensive;;New Relic;We're good, it feels productive, and we know how to move forward;We need to become DevOps;Team Lead;;Small company (I work in a shared office space or small office);3-9;5;Argentina
7a5a2bb7a1f1654ea2b1dda98ac9f3b0;;MyEclipse;Project requires it;;7;;;Java 7 (or older);;Company policy: we're a $LANG shop;;8;;;Java EE;;Project requirements: it was the best fit for this particular project;;7;;;;ERP;;IBM iSeries supports it;6;;;;DB2;;IBM iSeries is bundle with it;8;;;At least we talk to the Ops people;Happier team;;We react to the user complains;Performance has never been a requirement;;"SPRING;REACT";I wish we've chosen a different set of technologies;IDE;Team Lead;;Small company (I work in a shared office space or small office);3-9;8;Italy
a6dda639a70479fc7626b0a55da824fa;Eclipse ;;Familiarity: it's what I know;;8;;;Java 7 (or older);;;JEE and it's incompatibilities. ;4;Not enough time to migrate though I know it'll be better;;Spring ;;Ecosystem: tooling, libraries, plenty of users, and support;;7;;;Monolith;;Legacy reasons: it was picked ages ago, must have made sense then;;1;;We are slowly moving away;Postgres;;Suitability: it fits our architechture / requirements;;8;;;We don't even have ops;Faster resolution of problems;;We react to the user complains;Performance directly affects our bottom line;;"Spring boot; pattern fly;";It's the worst, we barely move forward;Project architecture;Architect;;Midsized company (I work in an open plan office);3-9;18;Netherlands
524319c5c6bb91c883de0e06627d25d0;Eclipse ;;Familiarity: it's what I know;;8;;;Java 8 (or newer);;Ecosystem: community, tools, libraries;;10;;;;Grails;Hype: they told us it's the next big thing;;10;;;SOA;;Suitability: it fits our requirements most effectively;;9;;;Oracle DB;;Familiarity: we know it the best;;8;;;We don't even have ops;Happier team;;We react to the user complains;Performance has never been a requirement;;gradle;The tools are fine, the project is just too old;Project architecture;Software Developer;;Enterprise Company (I work in a cubicle or large open plan office);10-19;5;India
ec6405d1f15a6959b64aa02b8bfaf0d1;NetBeans;;Functionality: it's superior;;10;;;Java 8 (or newer);;Ecosystem: community, tools, libraries;;9;;;Java EE;;It's functionally superior;;10;;;Monolith;;Suitability: it fits our requirements most effectively;;8;;;Oracle DB;;Company policy: we have licenses already;;10;;;At least we talk to the Ops people;Faster delivery of features;;We react to the user complains;Performance tooling / experts are expensive;;"Angular2;Typescript;Java EE 8";We're good, it feels productive, and we know how to move forward;We need to care about performance more;Team Lead;;Enterprise Company (I work in a cubicle or large open plan office);20-49;9;Bosnia & Herzegovina
6d4c8d222dd7a86ccdaebce01d199495;IntelliJ IDEA;;Functionality: it's superior;;8;;;Java 8 (or newer);;Ecosystem: community, tools, libraries;;8;;;Spring ;;Ecosystem: tooling, libraries, plenty of users, and support;;7;;;Microservices;;Suitability: it fits our requirements most effectively;;9;;;Cassandra;;Suitability: it fits our architechture / requirements;;6;;;At least we talk to the Ops people;Faster delivery of features;;We benchmark or have performance tests to catch regressions;Performance directly affects our bottom line;;"Kotlin; Spring Boot; Kafka ";We're good, it feels productive, and we know how to move forward;Programming language;Architect;;Enterprise Company (I work in a cubicle or large open plan office);3-9;20;Sweden
9998d24bb150cd645a5a49dd183d93f7;Eclipse ;;Familiarity: it's what I know;;8;;;Java 8 (or newer);;Ecosystem: community, tools, libraries;;9;;;Spring ;;Ecosystem: tooling, libraries, plenty of users, and support;;9;;;Microservices;;Suitability: it fits our requirements most effectively;;10;;;MS SQL;;Company policy: we have licenses already;;5;The price of the migration is enormous;;The Dev team and the Ops team work together;Happier team;;We react to the user complains;Performance directly affects our bottom line;;Reactive Programming;We're good, it feels productive, and we know how to move forward;We need to care about performance more;Software Developer;;Midsized company (I work in an open plan office);100+;7;United States of America (USA)
5803ecbb6614524b7a1ca07e9f4e86ec;Eclipse ;;Project requires it;;7;;;Java 8 (or newer);;Ecosystem: community, tools, libraries;;9;;;Reactive stack, i.e. Play framework, Lagom, Vert.x, etc;;Project requirements: it was the best fit for this particular project;;10;;;Split architecture: frontend / backend;;Suitability: it fits our requirements most effectively;;7;;;MySQL;;It's strongly encouraged by our application stack choice;;8;;;Not interested, we like the wall where it is;Stable operating environment;;We react to the user complains;Performance directly affects our bottom line;;"scala;angular2";We're good, it feels productive, and we know how to move forward;Virtualization tools;Software Developer;;Small company (I work in a shared office space or small office);1-2;25;Italy
063f50f869e4eb2cbc342ab09097c344;IntelliJ IDEA;;Functionality: it's superior;;5;Not enough time to migrate though I know it'll be better;;Java 8 (or newer);;Functional superiority;;6;;;Spring ;;Ecosystem: tooling, libraries, plenty of users, and support;;9;;;Monolith;;Familiarity: we have the skills and know we can make it work;;9;;;Postgres;;It's strongly encouraged by our application stack choice;;10;;;We are the DevOps ;Faster delivery of features;;We react to the user complains;Performance tooling / experts are expensive;;kotlin;We're good, it feels productive, and we know how to move forward;I need more tools not changing the existing;Software Developer;;Enterprise Company (I work in a cubicle or large open plan office);10-19;9;Mexico
0bc2b0eec402c6b395ed06b0c1a5e6cd;Eclipse ;;Project requires it;;4;It's a fixed project / company requirement;;Java 7 (or older);;Ecosystem: community, tools, libraries;;7;;;;Intershop;Project requirements: it was the best fit for this particular project;;6;;;Monolith;;Legacy reasons: it was picked ages ago, must have made sense then;;1;It's a fixed project / company requirement;;Oracle DB;;It's strongly encouraged by our application stack choice;;5;It's a fixed project / company requirement;;The Dev team and the Ops team work together;Better internal communication;;We benchmark or have performance tests to catch regressions;Performance has never been a requirement;;Tensorflow;I wish we've chosen a different set of technologies;Project architecture;Software Developer;;Midsized company (I work in an open plan office);10-19;10;Germany
67759db3354fa799290f90bce05f8a9f;IntelliJ IDEA;;Functionality: it's superior;;9;;;Java 8 (or newer);;Team skills: it was what we knew the best;;9;;;Spring ;;Company policy: we have other projects using the same stack;;5;The team is large and inflexible;;Monolith;;Legacy reasons: it was picked ages ago, must have made sense then;;7;;;Oracle DB;;Company policy: we have licenses already;;8;;;Not interested, we like the wall where it is;Stable operating environment;;We react to the user complains;Performance directly affects our bottom line;;Java 8;The tools are fine, the project is just too old;Project architecture;Software Developer;;Enterprise Company (I work in a cubicle or large open plan office);20-49;5;Norway
c17e951319dfd3b4fa4bf5fe3ef82e77;NetBeans;;Functionality: it's superior;;10;;;Java 8 (or newer);;Functional superiority;;10;;;Java EE;;It's functionally superior;;10;;;Monolith;;Suitability: it fits our requirements most effectively;;10;;;Oracle DB;;Suitability: it fits our architechture / requirements;;10;;;We have a DevOps engineer;Faster delivery of features;;We benchmark or have performance tests to catch regressions;Performance directly affects our bottom line;;Java EE 8;We're good, it feels productive, and we know how to move forward;I'm the rockstar ninja as is. I'm good.;Architect;;Enterprise Company (I work in a cubicle or large open plan office);10-19;25;United States of America (USA)
9255defa6972259fdd609a0766d09f66;IntelliJ IDEA;;Functionality: it's superior;;8;;;Java 8 (or newer);;Ecosystem: community, tools, libraries;;10;;;Spring ;;Familiarity: we know it the best;;7;;;Microservices;;Suitability: it fits our requirements most effectively;;7;;;MySQL;;;Was chosen by developers that don't work in our company anymore;1;The price of the migration is enormous;;The Dev team and the Ops team work together;Stable operating environment;;We react to the user complains;Performance has never been a requirement;;"Spring5; Kotlin";We're good, it feels productive, and we know how to move forward;Project architecture;Software Developer;;Midsized company (I work in an open plan office);3-9;10;Germany
b791f90330b3d6533bbaa98079f08c08;IntelliJ IDEA;;Functionality: it's superior;;9;;;Java 8 (or newer);;Ecosystem: community, tools, libraries;;8;;;Spring ;;Ecosystem: tooling, libraries, plenty of users, and support;;9;;;Desktop app;;Our application stack encourages it;;7;;;;H2;Suitability: it fits our architechture / requirements;;9;;;The Dev team and the Ops team work together;Stable operating environment;;We benchmark or have performance tests to catch regressions;Performance directly affects our bottom line;;Spring Boot, JavaFX;We're good, it feels productive, and we know how to move forward;We need to care about performance more;Consultant;;Enterprise Company (I work in a cubicle or large open plan office);3-9;10;Germany
1775e2c298099dbe268ca98bd31d7280;IntelliJ IDEA;;Functionality: it's superior;;8;;;Java 8 (or newer);;Functional superiority;;9;;;Spring ;;Ecosystem: tooling, libraries, plenty of users, and support;;9;;;Microservices;;Suitability: it fits our requirements most effectively;;7;;;Postgres;;It's strongly encouraged by our application stack choice;;7;;;We have a DevOps engineer;Faster resolution of problems;;Developers are equipped with profilers to monitor performance;Performance directly affects our bottom line;;"Kotlin;spring boot;rxjava";We're good, it feels productive, and we know how to move forward;Project architecture;Software Developer;;Contractor / Freelance (I work when, where and for whom I want!);3-9;12;Germany
e43209f0bfeacde4a59f2663d12368f7;IntelliJ IDEA;;Functionality: it's superior;;8;;;Java 8 (or newer);;Ecosystem: community, tools, libraries;;8;;;Java EE;;Company policy: we have other projects using the same stack;;6;;;Split architecture: frontend / backend;;Company policy: all projects use it;;5;It's a fixed project / company requirement;;Postgres;;Suitability: it fits our architechture / requirements;;9;;;We don't even have ops;Lowering complexity of the maintenance;;We don't care;Performance tooling / experts are expensive;;"vavr;jooq;kubernetes";I wish we've chosen a different set of technologies;Project architecture;Software Developer;;Small company (I work in a shared office space or small office);3-9;17;Italy
f7e91999cc3e611b2e7cbcd775495c07;NetBeans;;Functionality: it's superior;;10;;;Java 8 (or newer);;Functional superiority;;10;;;Java EE;;It's functionally superior;;10;;;Monolith;;Suitability: it fits our requirements most effectively;;10;;;MySQL;;Suitability: it fits our architechture / requirements;;10;;;At least we talk to the Ops people;Stable operating environment;;We benchmark or have performance tests to catch regressions;Performance directly affects our bottom line;;Java EE 8;We're good, it feels productive, and we know how to move forward;I need more tools not changing the existing;Team Lead;;Midsized company (I work in an open plan office);3-9;20;United States of America (USA)
94b8e06afd3c3f292ad5fa04deb7824b;IntelliJ IDEA;;Functionality: it's superior;;8;;;Java 7 (or older);;;Legacy code;6;;;Java EE;;Ecosystem: tooling, libraries, plenty of users, and support;;6;;;Monolith;;Legacy reasons: it was picked ages ago, must have made sense then;;5;The project kinda works, don't touch what's not completely broken;;Oracle DB;;Company policy: we have licenses already;;8;;;At least we talk to the Ops people;Faster resolution of problems;;We have APMs and monitor health of the deployments;Performance directly affects our bottom line;;"Hadoop; Java 8";I wish we've chosen a different set of technologies;Project architecture;Software Developer;;Enterprise Company (I work in a cubicle or large open plan office);3-9;1;Portugal
49f2b7a926fdd5bfe9cb1058f57629e5;;Jdeveloper;Project requires it;;2;It's a fixed project / company requirement;;Java 7 (or older);;Ecosystem: community, tools, libraries;;5;It's a fixed project / company requirement;;;Oracle ADF;Hype: they told us it's the next big thing;;3;It's a fixed project / company requirement;;Split architecture: frontend / backend;;Legacy reasons: it was picked ages ago, must have made sense then;;4;It's a fixed project / company requirement;;Oracle DB;;Company policy: we have licenses already;;8;;;We don't even have ops;Better internal communication;;We react to the user complains;We don't know how to properly address performance issues;;None;It feels unproductive, but the project is easy to maintain in production;Application stack ;Software Developer;;Small company (I work in a shared office space or small office);3-9;5;Mexico
991ed98fb5e3145ce7c560a35d97b92e;Eclipse ;;Familiarity: it's what I know;;10;;;Java 7 (or older);;Company policy: we're a $LANG shop;;10;;;Java EE;;Ecosystem: tooling, libraries, plenty of users, and support;;10;;;Monolith;;Legacy reasons: it was picked ages ago, must have made sense then;;10;;;Oracle DB;;Company policy: we have licenses already;;10;;;The Dev team and the Ops team work together;Stable operating environment;;We react to the user complains;Performance directly affects our bottom line;;"Java EE 8;Spring";I wish we've chosen a different set of technologies;Application stack ;Software Developer;;Contractor / Freelance (I work when, where and for whom I want!);20-49;9;Uzbekistan
9d2019c702bf98521a0ce6617c2043da;IntelliJ IDEA;;Functionality: it's superior;;10;;;Java 8 (or newer);;Functional superiority;;8;;;Spring ;;Ecosystem: tooling, libraries, plenty of users, and support;;9;;;Microservices;;Suitability: it fits our requirements most effectively;;7;;;MySQL;;Familiarity: we know it the best;;8;;;We have a DevOps engineer;Stable operating environment;;We have APMs and monitor health of the deployments;Performance has never been a requirement;;Kotlin ;We're good, it feels productive, and we know how to move forward;Project architecture;Software Developer;;Enterprise Company (I work in a cubicle or large open plan office);10-19;9;Argentina
4c3fdd6e6f3ff9e7ee85a6831868dad3;NetBeans;;Functionality: it's superior;;7;;;Java 8 (or newer);;Team skills: it was what we knew the best;;8;;;Java EE;;It's functionally superior;;7;;;Monolith;;Suitability: it fits our requirements most effectively;;7;;;MySQL;;Developer friendliness;;7;;;We are the DevOps ;Faster resolution of problems;;We have APMs and monitor health of the deployments;Performance directly affects our bottom line;;Gradle;We're good, it feels productive, and we know how to move forward;Project architecture;Architect;;Small company (I work in a shared office space or small office);3-9;9;Spain
069f61c3e9608e91fbed88c44f970acf;NetBeans;;Functionality: it's superior;;9;;;Java 8 (or newer);;Ecosystem: community, tools, libraries;;8;;;Java EE;;Ecosystem: tooling, libraries, plenty of users, and support;;9;;;SOA;;Familiarity: we have the skills and know we can make it work;;8;;;MySQL;;Familiarity: we know it the best;;9;;;We have a DevOps engineer;Lowering complexity of the maintenance;;Developers are equipped with profilers to monitor performance;Performance directly affects our bottom line;;"Microservice;openshift ";We're good, it feels productive, and we know how to move forward;Project architecture;Team Lead;;Midsized company (I work in an open plan office);50-100;5;China
e7a0a1dfa84ef79f570bc84332af0a88;IntelliJ IDEA;;Functionality: it's superior;;9;;;Java 8 (or newer);;Functional superiority;;9;;;Spring ;;It's functionally superior;;9;;;Split architecture: frontend / backend;;Legacy reasons: it was picked ages ago, must have made sense then;;7;;;MS SQL;;Company policy: we have licenses already;;5;It's a fixed project / company requirement;;The Dev team and the Ops team work together;Faster resolution of problems;;We benchmark or have performance tests to catch regressions;Performance directly affects our bottom line;;websocket;We're good, it feels productive, and we know how to move forward;Database;Software Developer;;Midsized company (I work in an open plan office);10-19;15;Poland
f576cf2ad034f118e784956c00fef525;NetBeans;;Functionality: it's superior;;10;;;Java 8 (or newer);;Functional superiority;;10;;;Java EE;;Ecosystem: tooling, libraries, plenty of users, and support;;10;;;Library or framework;;Suitability: it fits our requirements most effectively;;10;;;;none;;no use for database;10;;;We don't even have ops;Better internal communication;;We benchmark or have performance tests to catch regressions;Performance directly affects our bottom line;;apache netbeans;We're good, it feels productive, and we know how to move forward;Virtualization tools;Software Developer;;Enterprise Company (I work in a cubicle or large open plan office);3-9;19;France
ed7dc81158bcbff0419f83f6ccd106f1;Eclipse ;;Functionality: it's superior;;9;;;Java 8 (or newer);;Functional superiority;;10;;;Java EE;;It's functionally superior;;10;;;Monolith;;Suitability: it fits our requirements most effectively;;8;;;;internal;Suitability: it fits our architechture / requirements;;7;;;The Dev team and the Ops team work together;Happier team;;We have professional perf engineers in the team;Performance directly affects our bottom line;;ee;We're good, it feels productive, and we know how to move forward;We need to care about performance more;Software Developer;;Enterprise Company (I work in a cubicle or large open plan office);100+;10;Czech Republic
2efb816d71f7d7bed02d2ebbb3e38034;IntelliJ IDEA;;Functionality: it's superior;;9;;;Java 8 (or newer);;Team skills: it was what we knew the best;;10;;;Java EE;;It's functionally superior;;10;;;Monolith;;Suitability: it fits our requirements most effectively;;9;;;MySQL;;Familiarity: we know it the best;;8;;;At least we talk to the Ops people;Better internal communication;;We have APMs and monitor health of the deployments;Performance has never been a requirement;;Docker;We're good, it feels productive, and we know how to move forward;Virtualization tools;Architect;;Small company (I work in a shared office space or small office);3-9;16;Poland
